Weather,P(Weather),P(precipitation | Weather)_Mean,P(precipitation | Weather)_Std,P(temp_max | Weather)_Mean,P(temp_max | Weather)_Std,P(temp_min | Weather)_Mean,P(temp_min | Weather)_Std,P(wind | Weather)_Mean,P(wind | Weather)_Std
drizzle,0.03627652292950034,0.0,0.0,15.926415094339623,8.812036151314603,7.1113207547169806,6.182190935301375,2.3679245283018866,0.9114176583985185
rain,0.43874058863791926,6.557878315132604,8.647537828273412,13.454602184087364,4.973028648927907,7.588767550702028,3.9518506594942826,3.6698907956318245,1.5861258286484627
sun,0.4380561259411362,0.0,0.0,19.861875,7.69825801383497,9.34375,5.508277311087128,2.9564062499999997,1.164077431542912
snow,0.01779603011635866,8.553846153846154,7.0215229555549135,5.573076923076924,3.1091552154638653,0.14615384615384613,2.2371822937312493,4.411538461538461,1.4403685425826052
fog,0.06913073237508556,0.0,0.0,16.757425742574256,6.774722821409794,7.9792079207920805,5.011991955932953,2.4811881188118807,1.19655445937802
